"company_symbol","company_name_th","company_name_en","sector","industry","last_price","high_52w","low_52w","market_cap","pe_ratio","pb_ratio","dividend_yield"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","ICT","TECH","358.0","410.0","267.0","1070715504960","21.08","8.89","9.53"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","TRANS","SERVICE","60.0","60.0","26.75","842856300000","46.57","6.5","1.37"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","PROP","PROPCON","2.64","2.8","1.55","82628484552","12.9","0.84","3.1"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","ENERG","RESOURC","5.35","6.5","4.0","53601129605.5",,"0.45","5.61"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","BANK","FINCIAL","175.5","181.0","135.0","329275399215","7.42","0.57","5.8"
"BDMS","บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน)","BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED","HELTH","SERVICE","18.3","22.9","17.4","289234434489","18.59","2.62","5.49"
"BEM","บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน)","BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED","TRANS","SERVICE","5.8","6.3","4.56","87124500000","22.56","2.25","2.63"
"BH","บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน)","BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED","HELTH","SERVICE","184.5","214.0","130.0","147068819520","19.45","4.51","5.95"
"BJC","บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน)","BERLI JUCKER PUBLIC COMPANY LIMITED","COMM","SERVICE","14.4","21.1","12.8","56910713125.8","14.31","0.47","3.59"
"BTS","บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน)","BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED","TRANS","SERVICE","2.08","4.32","1.98","33153235457.2",,"0.57",
