"company_symbol","company_name_th","company_name_en","relationship","stakeholder_rank","stakeholder_name","shares","percent_share","is_thai_nvdr","book_close_date","source_url"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","major_shareholder","1","บริษัท  กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน)","1202712000","40.44","False","2026-03-02","https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","major_shareholder","2","SINGTEL STRATEGIC INVESTMENTS PTE LTD.","568000000","19.1","False","2026-03-02","https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","major_shareholder","3","บริษัท  ไทยเอ็นวีดีอาร์ จำกัด","226881375","7.63","True","2026-03-02","https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","major_shareholder","4","RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.","168492744","5.67","False","2026-03-02","https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders"
"ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","major_shareholder","5","กองทุนรวม  วายุภักษ์หนึ่ง","88383700","2.97","False","2026-03-02","https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","major_shareholder","1","กระทรวงการคลัง","10000000000","70.0","False","2025-12-12","https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","major_shareholder","2","บริษัท  ไทยเอ็นวีดีอาร์ จำกัด","468872380","3.28","True","2025-12-12","https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","major_shareholder","3","กองทุนรวม  วายุภักษ์หนึ่ง","345959000","2.42","False","2025-12-12","https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","major_shareholder","4","สำนักงานประกันสังคม","195775520","1.37","False","2025-12-12","https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders"
"AOT","บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)","AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED","major_shareholder","5","SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED","171637725","1.2","False","2025-12-12","https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","major_shareholder","1","บริษัท  ทีซีซี บริหารธุรกิจ จำกัด","14400000000","44.96","False","2026-05-08","https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","major_shareholder","2","บริษัท  ทีซีซี รีเทล จำกัด","9600000000","29.98","False","2026-05-08","https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","major_shareholder","3","NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT","1430000000","4.47","False","2026-05-08","https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","major_shareholder","4","UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS","691391201","2.16","False","2026-05-08","https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders"
"AWC","บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)","ASSET WORLD CORP PUBLIC COMPANY LIMITED","major_shareholder","5","กองทุนรวม  วายุภักษ์หนึ่ง","612369400","1.91","False","2026-05-08","https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","major_shareholder","1","บริษัท  น้ำตาลมิตรผล จำกัด","827908786","8.26","False","2026-06-05","https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","major_shareholder","2","บริษัท  ไทยเอ็นวีดีอาร์ จำกัด","799858493","7.98","True","2026-06-05","https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","major_shareholder","3","SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED","293437069","2.93","False","2026-06-05","https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","major_shareholder","4","นาย ประทีป ตั้งมติธรรม","198423798","1.98","False","2026-06-05","https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders"
"BANPU","บริษัท บ้านปู จำกัด (มหาชน)","BANPU PUBLIC COMPANY LIMITED","major_shareholder","5","บริษัท  ทุนมิตรสยาม จำกัด","172906811","1.73","False","2026-06-05","https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","major_shareholder","1","บริษัท  ไทยเอ็นวีดีอาร์ จำกัด","446289133","23.38","True","2026-04-23","https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","major_shareholder","2","บริษัท  ซิตี้เรียลตี้ จำกัด","89645900","4.7","False","2026-04-23","https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","major_shareholder","3","สำนักงานประกันสังคม","76353394","4.0","False","2026-04-23","https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","major_shareholder","4","STATE STREET EUROPE LIMITED","52133499","2.73","False","2026-04-23","https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders"
"BBL","ธนาคารกรุงเทพ จำกัด (มหาชน)","BANGKOK BANK PUBLIC COMPANY LIMITED","major_shareholder","5","STATE STREET BANK AND TRUST COMPANY","47874374","2.51","False","2026-04-23","https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders"
